GroupId,Value,Year
13,0,2042
13,0,2043
13,0,2044
13,0,2045
133,0.225,2018
133,0.134202,2019
133,0.088566,2020
133,0.021127,2021
133,0,2022
133,0,2023
133,0,2024
133,0,2025
133,0,2026
133,0,2027
133,0,2028
133,0,2029
133,0,2030
133,0,2031
133,0,2032
133,0,2033
133,0,2034
133,0,2035
133,0,2036
133,0,2037
133,0,2038
133,0,2039
133,0,2040
133,0,2041
133,0,2042
133,0,2043
133,0,2044
133,0,2045
135,0.75,2018
135,0.62023,2019
135,0.555006,2020
135,0.458621,2021
135,0.405968,2022
135,0.295605,2023
135,0.152009,2024
135,0,2025
135,0,2026
135,0,2027
135,0,2028
135,0,2029
135,0,2030
135,0,2031
135,0,2032
135,0,2033
135,0,2034
135,0,2035
135,0,2036
135,0,2037
135,0,2038
135,0,2039
135,0,2040
135,0,2041
135,0,2042
135,0,2043
135,0,2044
135,0,2045
140,0.4,2018
140,0.260165,2019
140,0.189882,2020
140,0.086022,2021
140,0.029285,2022
140,0,2023
140,0,2024
140,0,2025
140,0,2026
140,0,2027
140,0,2028
140,0,2029
140,0,2030
140,0,2031
140,0,2032
140,0,2033
140,0,2034
140,0,2035
140,0,2036
140,0,2037
140,0,2038
140,0,2039
140,0,2040
140,0,2041
140,0,2042
140,0,2043
140,0,2044
140,0,2045
143,0.225,2018
143,0.107917,2019
143,0.04907,2020
143,0,2021
143,0,2022
143,0,2023
143,0,2024
143,0,2025
143,0,2026
143,0,2027
143,0,2028
143,0,2029
143,0,2030
143,0,2031
143,0,2032
143,0,2033
143,0,2034
143,0,2035
143,0,2036
143,0,2037
143,0,2038
143,0,2039
143,0,2040
143,0,2041
143,0,2042
143,0,2043
143,0,2044
143,0,2045
146,0.1,2018
146,0,2019
146,0,2020
146,0,2021
146,0,2022
146,0,2023
146,0,2024
146,0,2025
146,0,2026
146,0,2027
146,0,2028
146,0,2029
146,0,2030
146,0,2031
146,0,2032
146,0,2033
146,0,2034
146,0,2035
146,0,2036
146,0,2037
146,0,2038
146,0,2039
146,0,2040
146,0,2041
146,0,2042
146,0,2043
146,0,2044
146,0,2045
147,0.75,2018
147,0.450188,2019
147,0.299499,2020
147,0.076818,2021
147,0,2022
147,0,2023
147,0,2024
147,0,2025
147,0,2026
147,0,2027
147,0,2028
147,0,2029
147,0,2030
147,0,2031
147,0,2032
147,0,2033
147,0,2034
147,0,2035
147,0,2036
147,0,2037
