year,technology,value,scenario
2027,Wind,343992.96,postapril
2028,Wind,341779.98,postapril
2029,Wind,339414.43,postapril
2030,Wind,353664.53,postapril
2031,Wind,351932,postapril
2032,Wind,351497.16,postapril
2033,Wind,349668.77,postapril
2034,Wind,347767.94,postapril
2035,Wind,346333.71,postapril
2036,Wind,345585.06,postapril
2037,Wind,344609.85,postapril
2038,Wind,343151.42,postapril
2039,Wind,342633.11,postapril
2040,Wind,335644.69,postapril
2041,Wind,335562.59,postapril
2042,Wind,335887.34,postapril
2043,Wind,335552.76,postapril
2044,Wind,335490.64,postapril
2045,Wind,326097.9,postapril
