technology,year,scenario,value
DER,2034,e3,1444.59
DER,2035,e3,1506.34
DER,2036,e3,1568.08
DER,2037,e3,1629.83
DER,2038,e3,1691.58
DER,2039,e3,1753.32
DER,2040,e3,1815.06
DER,2041,e3,1876.82
DER,2042,e3,1938.56
DER,2043,e3,2000.31
DER,2044,e3,2062.05
DER,2045,e3,2123.80
Fossil,2016,e3,1386.60
Fossil,2017,e3,1395.60
Fossil,2018,e3,1550.02
Fossil,2019,e3,1700.02
Fossil,2020,e3,1551.98
Fossil,2021,e3,1551.98
Fossil,2022,e3,1093.63
Fossil,2023,e3,959.61
Fossil,2024,e3,959.61
Fossil,2025,e3,959.61
Fossil,2026,e3,959.61
Fossil,2027,e3,959.61
Fossil,2028,e3,959.61
Fossil,2029,e3,959.61
Fossil,2030,e3,959.61
Fossil,2031,e3,959.61
Fossil,2032,e3,959.61
Fossil,2033,e3,959.61
Fossil,2034,e3,959.61
Fossil,2035,e3,959.61
Fossil,2036,e3,959.61
Fossil,2037,e3,959.61
Fossil,2038,e3,959.61
Fossil,2039,e3,959.61
Fossil,2040,e3,959.61
Fossil,2041,e3,959.61
Fossil,2042,e3,959.61
Fossil,2043,e3,959.61
Fossil,2044,e3,959.61
Fossil,2045,e3,0.00
PV,2016,e3,11.00
PV,2017,e3,58.60
PV,2018,e3,183.20
PV,2019,e3,203.20
PV,2020,e3,383.20
PV,2021,e3,383.20
PV,2022,e3,423.20
PV,2023,e3,423.20
PV,2024,e3,423.20
PV,2025,e3,623.20
PV,2026,e3,623.20
PV,2027,e3,623.20
PV,2028,e3,623.20
PV,2029,e3,623.20
PV,2030,e3,623.20
PV,2031,e3,623.20
PV,2032,e3,623.20
PV,2033,e3,623.20
PV,2034,e3,623.20
PV,2035,e3,623.20
PV,2036,e3,623.20
PV,2037,e3,623.20
PV,2038,e3,623.20
PV,2039,e3,623.20
PV,2040,e3,903.20
PV,2041,e3,903.20
PV,2042,e3,903.20
PV,2043,e3,903.20
PV,2044,e3,903.20
PV,2045,e3,2083.20
Wind,2016,e3,99.00
Wind,2017,e3,99.00
Wind,2018,e3,133.00
Wind,2019,e3,133.00
Wind,2020,e3,133.00
Wind,2021,e3,133.00
Wind,2022,e3,133.00
Wind,2023,e3,133.00
Wind,2024,e3,133.00
Wind,2025,e3,133.00
Wind,2026,e3,133.00
Wind,2027,e3,133.00
Wind,2028,e3,133.00
Wind,2029,e3,133.00
Wind,2030,e3,133.00
Wind,2031,e3,133.00
Wind,2032,e3,133.00
Wind,2033,e3,133.00
Wind,2034,e3,133.00
Wind,2035,e3,133.00
Wind,2036,e3,133.00
Wind,2037,e3,133.00
Wind,2038,e3,133.00
Wind,2039,e3,133.00
Wind,2040,e3,133.00
Wind,2041,e3,133.00
Wind,2042,e3,133.00
Wind,2043,e3,133.00
Wind,2044,e3,133.00
Wind,2045,e3,163.00
Offshore,2016,e3,0.00
Offshore,2017,e3,0.00
Offshore,2018,e3,0.00
Offshore,2019,e3,0.00
Offshore,2020,e3,0.00
Offshore,2021,e3,0.00
Offshore,2022,e3,0.00
Offshore,2023,e3,0.00
Offshore,2024,e3,0.00
Offshore,2025,e3,200.00
Offshore,2026,e3,200.00
Offshore,2027,e3,200.00
Offshore,2028,e3,200.00
Offshore,2029,e3,200.00
Offshore,2030,e3,200.00
Offshore,2031,e3,200.00
Offshore,2032,e3,200.00
Offshore,2033,e3,200.00
Offshore,2034,e3,200.00
Offshore,2035,e3,200.00
Offshore,2036,e3,200.00
Offshore,2037,e3,200.00
Offshore,2038,e3,200.00
Offshore,2039,e3,200.00
Offshore,2040,e3,200.00
Offshore,2041,e3,200.00
Offshore,2042,e3,200.00
Offshore,2043,e3,200.00
Offshore,2044,e3,200.00
Offshore,2045,e3,200.00
